name,x,y,theta,msec
2025-05-20 17_12_07.833.png,1096.50,1161.50,0.00,55
2025-05-20 17_13_00.444.png,1329.53,1119.47,3.58,52
2025-05-20 17_14_11.262.png,1037.49,1282.51,-1.07,51
2025-05-20 17_14_54.886.png,1125.54,1240.46,4.66,50
2025-05-20 17_15_27.86.png,1259.50,1342.50,-0.36,47
2025-05-20 17_37_23.779.png,1267.50,1318.50,0.36,49
2025-05-20 17_38_27.195.png,1062.51,1273.49,0.72,48
2025-05-20 17_39_04.168.png,1066.50,1367.50,0.00,48
2025-05-20 17_39_25.619.png,1289.48,1352.53,-2.86,47
2025-05-20 17_39_51.382.png,1390.49,1192.51,-1.07,51
2025-05-20 17_40_15.434.png,1248.49,1200.51,-1.43,55
2025-05-20 17_40_34.287.png,850.50,919.50,-0.36,48
2025-05-20 17_40_55.169.png,1355.50,1180.50,0.00,50
2025-05-20 17_41_13.425.png,1110.51,1208.49,0.72,49
2025-05-20 17_41_28.322.png,1426.50,1247.50,0.36,48
